Plot,Aspect,Northerness,Easterness
Pinedale_100_ctrl_one_yr,189.66,0.39526428,0.918567444
Pinedale_112_ctrl_one_yr,189.66,0.39526428,0.918567444
Pinedale_130_ctrl_one_yr,189.66,0.39526428,0.918567444
Pinedale_133_ctrl_one_yr,189.66,0.39526428,0.918567444
Pinedale_145_ctrl_one_yr,189.66,0.39526428,0.918567444
Pinedale_148_ctrl_one_yr,189.66,0.39526428,0.918567444
Pinedale_166_ctrl_one_yr,189.66,0.39526428,0.918567444
Pinedale_169_ctrl_one_yr,189.66,0.39526428,0.918567444
Pinedale_184_ctrl_one_yr,189.66,0.39526428,0.918567444
Pinedale_31_ctrl_one_yr,189.66,0.39526428,0.918567444
Pinedale_34_ctrl_one_yr,189.66,0.39526428,0.918567444
Pinedale_46_ctrl_one_yr,189.66,0.39526428,0.918567444
Pinedale_55_ctrl_one_yr,189.66,0.39526428,0.918567444
Pinedale_70_ctrl_one_yr,189.66,0.39526428,0.918567444
Pinedale_79_ctrl_one_yr,189.66,0.39526428,0.918567444
Pinedale_88_ctrl_one_yr,189.66,0.39526428,0.918567444
Pinedale_97_ctrl_one_yr,189.66,0.39526428,0.918567444
prairie_road_1_ctrl_one_yr,68.47,0.799076693,-0.601229107
prairie_road_2_ctrl_one_yr,68.47,0.799076693,-0.601229107
prairie_road_3_ctrl_one_yr,68.47,0.799076693,-0.601229107
prairiedog_101_ctrl_one_yr,116.89,-0.795434692,-0.606039314
prairiedog_203_ctrl_one_yr,116.89,-0.795434692,-0.606039314
prairiedog_205_ctrl_one_yr,116.89,-0.795434692,-0.606039314
prairiedog_301_ctrl_one_yr,116.89,-0.795434692,-0.606039314
prairiedog_310_ctrl_one_yr,116.89,-0.795434692,-0.606039314
prairiedog_402_ctrl_one_yr,116.89,-0.795434692,-0.606039314
prairiedog_411_ctrl_one_yr,116.89,-0.795434692,-0.606039314
Preacher_Creek_unburned_one_yr_1,120.48,0.454060233,0.89097099
Preacher_Creek_unburned_one_yr_2,120.48,0.454060233,0.89097099
Preacher_Creek_unburned_one_yr_3,120.48,0.454060233,0.89097099
Preacher_Creek_unburned_one_yr_4,120.48,0.454060233,0.89097099
Preacher_Creek_unburned_one_yr_5,120.48,0.454060233,0.89097099
Red_Bluff_1_ctrl_one_yr,94.51,0.965816777,0.259225681
Red_Bluff_2_ctrl_one_yr,94.51,0.965816777,0.259225681
Red_Bluff_3_ctrl_one_yr,94.51,0.965816777,0.259225681
Red_Bluff_climate_1_ctrl_one_yr,152.07,0.292885893,0.956147402
Red_Bluff_climate_113_ctrl_one_yr,152.07,0.292885893,0.956147402
Red_Bluff_climate_114_ctrl_one_yr,152.07,0.292885893,0.956147402
Red_Bluff_climate_117_ctrl_one_yr,152.07,0.292885893,0.956147402
Red_Bluff_climate_17_ctrl_one_yr,152.07,0.292885893,0.956147402
Red_Bluff_climate_22_ctrl_one_yr,152.07,0.292885893,0.956147402
Red_Bluff_climate_23_ctrl_one_yr,152.07,0.292885893,0.956147402
Red_Bluff_climate_24_ctrl_one_yr,152.07,0.292885893,0.956147402
Red_Bluff_climate_3_ctrl_one_yr,152.07,0.292885893,0.956147402
Red_Bluff_climate_35_ctrl_one_yr,152.07,0.292885893,0.956147402
Red_Bluff_climate_38_ctrl_one_yr,152.07,0.292885893,0.956147402
Red_Bluff_climate_58_ctrl_one_yr,152.07,0.292885893,0.956147402
Red_Bluff_climate_62_ctrl_one_yr,152.07,0.292885893,0.956147402
Red_Bluff_climate_63_ctrl_one_yr,152.07,0.292885893,0.956147402
Red_Bluff_climate_64_ctrl_one_yr,152.07,0.292885893,0.956147402
Red_Bluff_climate_69_ctrl_one_yr,152.07,0.292885893,0.956147402
Red_Bluff_climate_73_ctrl_one_yr,152.07,0.292885893,0.956147402
Red_Bluff_climate_74_ctrl_one_yr,152.07,0.292885893,0.956147402
Red_Bluff_climate_80_ctrl_one_yr,152.07,0.292885893,0.956147402
Red_Bluff_climate_82_ctrl_one_yr,152.07,0.292885893,0.956147402
Red_Bluff_climate_89_ctrl_one_yr,152.07,0.292885893,0.956147402
Red_Bluff_climate_92_ctrl_one_yr,152.07,0.292885893,0.956147402
Red_Bluff_unburned_one_yr_1,201.97,0.615268213,0.788317845
Red_Bluff_unburned_one_yr_2,201.97,0.615268213,0.788317845
Red_Bluff_unburned_one_yr_3,201.97,0.615268213,0.788317845
Red_Bluff_unburned_one_yr_4,201.97,0.615268213,0.788317845
Red_Bluff_unburned_one_yr_5,201.97,0.615268213,0.788317845
reeds_grove_1_ctrl_one_yr,72.81,-0.850758771,-0.525556385
reeds_grove_2_ctrl_one_yr,72.81,-0.850758771,-0.525556385
reeds_grove_3_ctrl_one_yr,72.81,-0.850758771,-0.525556385
reeds_grove_lower_1_ctrl_one_yr,193.99,0.704736593,-0.709469051
reeds_grove_lower_2_ctrl_one_yr,193.99,0.704736593,-0.709469051
reeds_grove_lower_3_ctrl_one_yr,193.99,0.704736593,-0.709469051
Rinker_Rock_1_near_one_yr_ctrl,234.41,-0.353534854,0.935421353
Rinker_Rock_1_near_one_yr_ctrl,234.41,-0.353534854,0.935421353
Rinker_Rock_2_far_one_yr_ctrl,232.86,0.927867385,0.372910333
Rinker_Rock_2_far_one_yr_ctrl,232.86,0.927867385,0.372910333
Rinker_Rock_201_near_one_yr_ctrl,163.74,0.929706196,0.368302036
Rinker_Rock_201_near_one_yr_ctrl,163.74,0.929706196,0.368302036
Rinker_Rock_202_far_one_yr_ctrl,141.33,-0.999131956,0.041657354
Rinker_Rock_202_far_one_yr_ctrl,141.33,-0.999131956,0.041657354
Rinker_Rock_203_near_one_yr_ctrl,119.2,0.983750314,-0.179541971
Rinker_Rock_203_near_one_yr_ctrl,119.2,0.983750314,-0.179541971
Rinker_Rock_204_far_one_yr_ctrl,103.42,-0.968276501,0.249881207
Rinker_Rock_204_far_one_yr_ctrl,103.42,-0.968276501,0.249881207
Rinker_Rock_205_near_one_yr_ctrl,263.16,0.742646374,-0.669683778
Rinker_Rock_205_near_one_yr_ctrl,263.16,0.742646374,-0.669683778
Rinker_Rock_206_far_one_yr_ctrl,269.69,0.883755641,-0.46794868
Rinker_Rock_206_far_one_yr_ctrl,269.69,0.883755641,-0.46794868
Rinker_Rock_3_near_one_yr_ctrl,230.47,-0.423277693,-0.905999997
Rinker_Rock_3_near_one_yr_ctrl,230.47,-0.423277693,-0.905999997
Rinker_Rock_4_far_one_yr_ctrl,132.53,0.834755052,0.55062147
Rinker_Rock_4_far_one_yr_ctrl,132.53,0.834755052,0.55062147
Rinker_Rock_401_near_one_yr_ctrl,164.64,0.289413744,0.957204098
Rinker_Rock_401_near_one_yr_ctrl,164.64,0.289413744,0.957204098
Rinker_Rock_402_far_one_yr_ctrl,150.05,0.734105855,-0.679035046
Rinker_Rock_402_far_one_yr_ctrl,150.05,0.734105855,-0.679035046
Rinker_Rock_403_near_one_yr_ctrl,167.18,-0.780338526,-0.625357325
Rinker_Rock_403_near_one_yr_ctrl,167.18,-0.780338526,-0.625357325
Rinker_Rock_404_far_one_yr_ctrl,214.2,0.840982625,0.541062126
Rinker_Rock_404_far_one_yr_ctrl,214.2,0.840982625,0.541062126
Rinker_Rock_405_near_one_yr_ctrl,128.91,-0.994523834,-0.104510013
Rinker_Rock_405_near_one_yr_ctrl,128.91,-0.994523834,-0.104510013
