Plot,iaf_cov,ipf_cov,iag_cov,ipg_cov,ips_cov,naf_cov,npf_cov,nag_cov,npg_cov,nps_cov,gen_cov
Pinedale_133_ctrl_one_yr,0.83,0,1.67,0,0,0.83,5.83,0,7.5,0.83,0
Pinedale_145_ctrl_one_yr,0,0,30,0,0,0,6.67,0.83,16.66,10,0
Pinedale_148_ctrl_one_yr,0,0,6.67,0,0,1.67,0.83,0,25.83,0,0
Pinedale_166_ctrl_one_yr,0,0,38.33,0,0,0.83,0,0,12.5,0,0
Pinedale_169_ctrl_one_yr,0,0,18.33,0,0,0,0,0,20.83,12.5,0
Pinedale_184_ctrl_one_yr,0,0,10.83,0,0,0,0,0,15.83,0,0
Pinedale_31_ctrl_one_yr,0,0,6.67,0,0,0.83,0.83,1.67,17.5,5,0
Pinedale_34_ctrl_one_yr,1.67,0,6.67,0,0,1.67,0,1.67,56.67,0,0
Pinedale_46_ctrl_one_yr,0,0,2.5,0,0,0,0,1.67,32.5,0.83,0
Pinedale_55_ctrl_one_yr,0,0,10.83,0,0,2.5,0,0,24.16,0,0
Pinedale_70_ctrl_one_yr,0,0,6.67,0,0,0,0,0,25.83,0,0
Pinedale_79_ctrl_one_yr,0.83,0,2.5,0,0,0,1.66,6.67,43.33,5,0
Pinedale_88_ctrl_one_yr,0,0,22.5,0,0,3.33,0.83,0.83,19.16,0.83,0
Pinedale_97_ctrl_one_yr,0,0,22.5,0,0,0,0,0.83,29.16,5,0
prairie_road_1_ctrl_one_yr,0,0,27,0,0,1.2,0,0,1.8,7.6,5.4
prairie_road_2_ctrl_one_yr,0.6,0,4.2,0.6,0,1.8,7.6,0,8,28.2,0.6
prairie_road_3_ctrl_one_yr,0.6,0,15.2,5.4,0,3,0,0,1.8,3.8,0.6
