"","Plot","Type","Site","Year","Group","Incidence"
"267","S13-2-65","S13","S13-2","2016","PF",45
"268","S13-2-65","S13","S13-2","2016","AF",13
"269","S13-2-65","S13","S13-2","2016","GR",32
"270","S13-2-65","S13","S13-2","2016","LEG",8
"271","S13-2-66","S13","S13-2","2016","SHTR",10
"272","S13-2-66","S13","S13-2","2016","VI",1
"273","S13-2-66","S13","S13-2","2016","PF",29
"274","S13-2-66","S13","S13-2","2016","AF",12
"275","S13-2-66","S13","S13-2","2016","GR",27
"276","S13-2-66","S13","S13-2","2016","LEG",6
"277","S13-2-67","S13","S13-2","2016","SHTR",6
"278","S13-2-67","S13","S13-2","2016","VI",4
"279","S13-2-67","S13","S13-2","2016","PF",43
"280","S13-2-67","S13","S13-2","2016","AF",12
"281","S13-2-67","S13","S13-2","2016","GR",35
"282","S13-2-67","S13","S13-2","2016","LEG",8
"283","S13-2-68","S13","S13-2","2016","SHTR",7
"284","S13-2-68","S13","S13-2","2016","VI",2
"285","S13-2-68","S13","S13-2","2016","PF",36
"286","S13-2-68","S13","S13-2","2016","AF",14
"287","S13-2-68","S13","S13-2","2016","GR",32
"288","S13-2-68","S13","S13-2","2016","LEG",6
"289","S13-26-19","S13","S13-26","2016","SHTR",3
"290","S13-26-19","S13","S13-26","2016","VI",0
"291","S13-26-19","S13","S13-26","2016","PF",30
"292","S13-26-19","S13","S13-26","2016","AF",6
"293","S13-26-19","S13","S13-26","2016","GR",29
"294","S13-26-19","S13","S13-26","2016","LEG",3
"295","S13-26-20","S13","S13-26","2016","SHTR",13
"296","S13-26-20","S13","S13-26","2016","VI",3
"297","S13-26-20","S13","S13-26","2016","PF",29
"298","S13-26-20","S13","S13-26","2016","AF",9
"299","S13-26-20","S13","S13-26","2016","GR",30
"300","S13-26-20","S13","S13-26","2016","LEG",10
"301","S13-26-37","S13","S13-26","2016","SHTR",3
"302","S13-26-37","S13","S13-26","2016","VI",1
"303","S13-26-37","S13","S13-26","2016","PF",18
"304","S13-26-37","S13","S13-26","2016","AF",10
"305","S13-26-37","S13","S13-26","2016","GR",32
"306","S13-26-37","S13","S13-26","2016","LEG",3
"307","S13-26-38","S13","S13-26","2016","SHTR",3
"308","S13-26-38","S13","S13-26","2016","VI",4
"309","S13-26-38","S13","S13-26","2016","PF",26
"310","S13-26-38","S13","S13-26","2016","AF",10
"311","S13-26-38","S13","S13-26","2016","GR",34
"312","S13-26-38","S13","S13-26","2016","LEG",3
"313","S13-6-11","S13","S13-6","2016","SHTR",19
"314","S13-6-11","S13","S13-6","2016","VI",11
"315","S13-6-11","S13","S13-6","2016","PF",28
"316","S13-6-11","S13","S13-6","2016","AF",4
"317","S13-6-11","S13","S13-6","2016","GR",18
"318","S13-6-11","S13","S13-6","2016","LEG",4
"319","S13-6-12","S13","S13-6","2016","SHTR",10
"320","S13-6-12","S13","S13-6","2016","VI",5
"321","S13-6-12","S13","S13-6","2016","PF",30
"322","S13-6-12","S13","S13-6","2016","AF",4
"323","S13-6-12","S13","S13-6","2016","GR",27
"324","S13-6-12","S13","S13-6","2016","LEG",6
"325","S13-6-41","S13","S13-6","2016","SHTR",8
"326","S13-6-41","S13","S13-6","2016","VI",4
"327","S13-6-41","S13","S13-6","2016","PF",17
"328","S13-6-41","S13","S13-6","2016","AF",7
"329","S13-6-41","S13","S13-6","2016","GR",36
"330","S13-6-41","S13","S13-6","2016","LEG",5
"331","S13-6-42","S13","S13-6","2016","SHTR",17
"332","S13-6-42","S13","S13-6","2016","VI",13
"333","S13-6-42","S13","S13-6","2016","PF",34
"334","S13-6-42","S13","S13-6","2016","AF",8
"335","S13-6-42","S13","S13-6","2016","GR",25
"336","S13-6-42","S13","S13-6","2016","LEG",9
"337","S13-9-13","S13","S13-9","2016","SHTR",5
"338","S13-9-13","S13","S13-9","2016","VI",4
"339","S13-9-13","S13","S13-9","2016","PF",35
"340","S13-9-13","S13","S13-9","2016","AF",4
"341","S13-9-13","S13","S13-9","2016","GR",22
"342","S13-9-13","S13","S13-9","2016","LEG",2
"343","S13-9-14","S13","S13-9","2016","SHTR",4
"344","S13-9-14","S13","S13-9","2016","VI",3
"345","S13-9-14","S13","S13-9","2016","PF",38
"346","S13-9-14","S13","S13-9","2016","AF",8
"347","S13-9-14","S13","S13-9","2016","GR",26
"348","S13-9-14","S13","S13-9","2016","LEG",8
"349","S13-9-39","S13","S13-9","2016","SHTR",6
"350","S13-9-39","S13","S13-9","2016","VI",3
"351","S13-9-39","S13","S13-9","2016","PF",21
"352","S13-9-39","S13","S13-9","2016","AF",4
"353","S13-9-39","S13","S13-9","2016","GR",26
"354","S13-9-39","S13","S13-9","2016","LEG",1
"355","S13-9-40","S13","S13-9","2016","SHTR",5
"356","S13-9-40","S13","S13-9","2016","VI",3
"357","S13-9-40","S13","S13-9","2016","PF",22
"358","S13-9-40","S13","S13-9","2016","AF",7
"359","S13-9-40","S13","S13-9","2016","GR",28
"360","S13-9-40","S13","S13-9","2016","LEG",3
"361","E13-R10-35","E13","E13-R10","2014","SHTR",1
"362","E13-R10-35","E13","E13-R10","2014","VI",4
"363","E13-R10-35","E13","E13-R10","2014","PF",25
"364","E13-R10-35","E13","E13-R10","2014","AF",0
"365","E13-R10-35","E13","E13-R10","2014","GR",24
"366","E13-R10-35","E13","E13-R10","2014","LEG",0
"367","E13-R10-36","E13","E13-R10","2014","SHTR",0
"368","E13-R10-36","E13","E13-R10","2014","VI",2
"369","E13-R10-36","E13","E13-R10","2014","PF",25
"370","E13-R10-36","E13","E13-R10","2014","AF",0
"371","E13-R10-36","E13","E13-R10","2014","GR",28
"372","E13-R10-36","E13","E13-R10","2014","LEG",0
"373","E13-R10-7","E13","E13-R10","2014","SHTR",2
"374","E13-R10-7","E13","E13-R10","2014","VI",1
"375","E13-R10-7","E13","E13-R10","2014","PF",23
"376","E13-R10-7","E13","E13-R10","2014","AF",2
"377","E13-R10-7","E13","E13-R10","2014","GR",21
"378","E13-R10-7","E13","E13-R10","2014","LEG",3
"379","E13-R10-8","E13","E13-R10","2014","SHTR",4
"380","E13-R10-8","E13","E13-R10","2014","VI",3
"381","E13-R10-8","E13","E13-R10","2014","PF",19
"382","E13-R10-8","E13","E13-R10","2014","AF",0
"383","E13-R10-8","E13","E13-R10","2014","GR",27
"384","E13-R10-8","E13","E13-R10","2014","LEG",1
"385","E13-R11-10","E13","E13-R11","2014","SHTR",13
"386","E13-R11-10","E13","E13-R11","2014","VI",6
"387","E13-R11-10","E13","E13-R11","2014","PF",27
"388","E13-R11-10","E13","E13-R11","2014","AF",15
"389","E13-R11-10","E13","E13-R11","2014","GR",24
"390","E13-R11-10","E13","E13-R11","2014","LEG",3
"391","E13-R11-33","E13","E13-R11","2014","SHTR",4
"392","E13-R11-33","E13","E13-R11","2014","VI",7
"393","E13-R11-33","E13","E13-R11","2014","PF",24
"394","E13-R11-33","E13","E13-R11","2014","AF",3
"395","E13-R11-33","E13","E13-R11","2014","GR",24
"396","E13-R11-33","E13","E13-R11","2014","LEG",2
"397","E13-R11-34","E13","E13-R11","2014","SHTR",12
"398","E13-R11-34","E13","E13-R11","2014","VI",3
"399","E13-R11-34","E13","E13-R11","2014","PF",26
"400","E13-R11-34","E13","E13-R11","2014","AF",6
"401","E13-R11-34","E13","E13-R11","2014","GR",26
"402","E13-R11-34","E13","E13-R11","2014","LEG",1
"403","E13-R11-9","E13","E13-R11","2014","SHTR",9
"404","E13-R11-9","E13","E13-R11","2014","VI",11
"405","E13-R11-9","E13","E13-R11","2014","PF",17
"406","E13-R11-9","E13","E13-R11","2014","AF",15
"407","E13-R11-9","E13","E13-R11","2014","GR",20
"408","E13-R11-9","E13","E13-R11","2014","LEG",1
"409","E13-R6-1","E13","E13-R6","2014","SHTR",17
"410","E13-R6-1","E13","E13-R6","2014","VI",14
"411","E13-R6-1","E13","E13-R6","2014","PF",30
"412","E13-R6-1","E13","E13-R6","2014","AF",2
"413","E13-R6-1","E13","E13-R6","2014","GR",11
"414","E13-R6-1","E13","E13-R6","2014","LEG",3
"415","E13-R6-2","E13","E13-R6","2014","SHTR",13
"416","E13-R6-2","E13","E13-R6","2014","VI",7
"417","E13-R6-2","E13","E13-R6","2014","PF",40
"418","E13-R6-2","E13","E13-R6","2014","AF",10
"419","E13-R6-2","E13","E13-R6","2014","GR",5
"420","E13-R6-2","E13","E13-R6","2014","LEG",3
"421","E13-R6-45","E13","E13-R6","2014","SHTR",10
"422","E13-R6-45","E13","E13-R6","2014","VI",7
"423","E13-R6-45","E13","E13-R6","2014","PF",25
"424","E13-R6-45","E13","E13-R6","2014","AF",2
"425","E13-R6-45","E13","E13-R6","2014","GR",14
"426","E13-R6-45","E13","E13-R6","2014","LEG",0
"427","E13-R6-46","E13","E13-R6","2014","SHTR",12
